phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
DRYRUN,ORPHAN,ביאור הרדל על פרקי דרבי אליעזר_links.json,ביאור הרדל על פרקי דרבי אליעזר_links.json,ביאור הרדל על פרקי דרבי אליעזר,no,,
DRYRUN,PLAN_DELETE,ביאור הרדל על פרקי דרבי אליעזר_links.json,ביאור הרדל על פרקי דרבי אליעזר_links.json,ביאור הרדל על פרקי דרבי אליעזר,no,,
DRYRUN,ORPHAN,בנין עולם_links.json,בנין עולם_links.json,בנין עולם,no,,
DRYRUN,PLAN_DELETE,בנין עולם_links.json,בנין עולם_links.json,בנין עולם,no,,
DRYRUN,ORPHAN,הלכות קטנות_links.json,הלכות קטנות_links.json,הלכות קטנות,no,,
DRYRUN,PLAN_DELETE,הלכות קטנות_links.json,הלכות קטנות_links.json,הלכות קטנות,no,,
DRYRUN,MATCH,השפעה; הלימוד המרכזי של הקבלה_links.json,השפעה; הלימוד המרכזי של הקבלה_links.json,השפעה; הלימוד המרכזי של הקבלה,yes,אוצריא\קבלה\בעל הסולם\השפעה; הלימוד המרכזי של הקבלה\השפעה; הלימוד המרכזי של הקבלה.txt,
DRYRUN,MATCH,כלי חמדה על התורה_links.json,כלי חמדה על התורה_links.json,כלי חמדה על התורה,yes,אוצריא\תנך\אחרונים\כלי חמדה על התורה\כלי חמדה על התורה.txt,
DRYRUN,MATCH,"משנת ארץ ישראל, מבוא_links.json","משנת ארץ ישראל, מבוא_links.json","משנת ארץ ישראל, מבוא",yes,"אוצריא\משנה\מחברי זמננו\משנת ארץ ישראל\משנת ארץ ישראל, מבוא\משנת ארץ ישראל, מבוא.txt",
DRYRUN,MATCH,ספר המליצה_links.json,ספר המליצה_links.json,ספר המליצה,yes,אוצריא\מחשבת ישראל\אחרונים\ספר המליצה.txt,
DRYRUN,ORPHAN,פירושי רדצ הופמן על שמות_links.json,פירושי רדצ הופמן על שמות_links.json,פירושי רדצ הופמן על שמות,no,,
DRYRUN,PLAN_DELETE,פירושי רדצ הופמן על שמות_links.json,פירושי רדצ הופמן על שמות_links.json,פירושי רדצ הופמן על שמות,no,,
DRYRUN,ORPHAN,רשימות שיעורים על הוריות_links.json,רשימות שיעורים על הוריות_links.json,רשימות שיעורים על הוריות,no,,
DRYRUN,PLAN_DELETE,רשימות שיעורים על הוריות_links.json,רשימות שיעורים על הוריות_links.json,רשימות שיעורים על הוריות,no,,
DRYRUN,ORPHAN,רשימות שיעורים על סנהדרין_links.json,רשימות שיעורים על סנהדרין_links.json,רשימות שיעורים על סנהדרין,no,,
DRYRUN,PLAN_DELETE,רשימות שיעורים על סנהדרין_links.json,רשימות שיעורים על סנהדרין_links.json,רשימות שיעורים על סנהדרין,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי ברכות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ברכות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ברכות,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי ברכות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ברכות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ברכות,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי גיטין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי גיטין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי גיטין,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי גיטין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי גיטין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי גיטין,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי דמאי_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי דמאי_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי דמאי,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי דמאי_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי דמאי_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי דמאי,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי הוריות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי הוריות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי הוריות,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי הוריות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי הוריות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי הוריות,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי יומא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי יומא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי יומא,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי יומא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי יומא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי יומא,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי כלאים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי כלאים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי כלאים,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי כלאים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי כלאים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי כלאים,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי מועד קטן_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מועד קטן_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מועד קטן,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי מועד קטן_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מועד קטן_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מועד קטן,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין,no,,
