phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
REAL,ORPHAN,ביאור הרדל על פרקי דרבי אליעזר_links.json,ביאור הרדל על פרקי דרבי אליעזר_links.json,ביאור הרדל על פרקי דרבי אליעזר,no,,
REAL,DELETE,ביאור הרדל על פרקי דרבי אליעזר_links.json,ביאור הרדל על פרקי דרבי אליעזר_links.json,ביאור הרדל על פרקי דרבי אליעזר,no,,
REAL,ORPHAN,בנין עולם_links.json,בנין עולם_links.json,בנין עולם,no,,
REAL,DELETE,בנין עולם_links.json,בנין עולם_links.json,בנין עולם,no,,
REAL,ORPHAN,הלכות קטנות_links.json,הלכות קטנות_links.json,הלכות קטנות,no,,
REAL,DELETE,הלכות קטנות_links.json,הלכות קטנות_links.json,הלכות קטנות,no,,
REAL,MATCH,השפעה; הלימוד המרכזי של הקבלה_links.json,השפעה; הלימוד המרכזי של הקבלה_links.json,השפעה; הלימוד המרכזי של הקבלה,yes,אוצריא\קבלה\בעל הסולם\השפעה; הלימוד המרכזי של הקבלה\השפעה; הלימוד המרכזי של הקבלה.txt,
REAL,MATCH,כלי חמדה על התורה_links.json,כלי חמדה על התורה_links.json,כלי חמדה על התורה,yes,אוצריא\תנך\אחרונים\כלי חמדה על התורה\כלי חמדה על התורה.txt,
REAL,MATCH,"משנת ארץ ישראל, מבוא_links.json","משנת ארץ ישראל, מבוא_links.json","משנת ארץ ישראל, מבוא",yes,"אוצריא\משנה\מחברי זמננו\משנת ארץ ישראל\משנת ארץ ישראל, מבוא\משנת ארץ ישראל, מבוא.txt",
REAL,MATCH,ספר המליצה_links.json,ספר המליצה_links.json,ספר המליצה,yes,אוצריא\מחשבת ישראל\אחרונים\ספר המליצה.txt,
REAL,ORPHAN,פירושי רדצ הופמן על שמות_links.json,פירושי רדצ הופמן על שמות_links.json,פירושי רדצ הופמן על שמות,no,,
REAL,DELETE,פירושי רדצ הופמן על שמות_links.json,פירושי רדצ הופמן על שמות_links.json,פירושי רדצ הופמן על שמות,no,,
REAL,ORPHAN,רשימות שיעורים על הוריות_links.json,רשימות שיעורים על הוריות_links.json,רשימות שיעורים על הוריות,no,,
REAL,DELETE,רשימות שיעורים על הוריות_links.json,רשימות שיעורים על הוריות_links.json,רשימות שיעורים על הוריות,no,,
REAL,ORPHAN,רשימות שיעורים על סנהדרין_links.json,רשימות שיעורים על סנהדרין_links.json,רשימות שיעורים על סנהדרין,no,,
REAL,DELETE,רשימות שיעורים על סנהדרין_links.json,רשימות שיעורים על סנהדרין_links.json,רשימות שיעורים על סנהדרין,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי בבא בתרא,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי ברכות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ברכות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ברכות,no,,
